-1 1 100
-1 2 100
-1 4 100
-1 5 100
-1 6 100
-1 7 100
-1 8 100
-1 9 100
-1 10 100
-1 11 100
-1 12 100
-1 13 100
-1 14 100
-1 15 100
-1 16 100
-1 17 100
-1 18 100
-1 19 100
-1 20 100
-2 1 100
-2 2 100
-2 3 100
-2 4 100
-2 5 100
-2 6 100
-2 7 100
-2 9 100
-2 10 100
-2 11 100
-2 13 100
-2 14 100
-2 15 100
-2 16 100
-2 17 100
-2 18 100
-2 19 100
-3 1 100
-3 2 100
-3 3 100
-3 4 100
-3 5 100
-3 6 100
-3 8 100
-3 9 100
-3 11 100
-3 12 100
-3 13 100
-3 14 100
-3 15 100
-3 16 100
-3 18 100
-3 19 100
-3 20 100
-4 1 100
-4 3 100
-4 4 100
-4 5 100
-4 6 100
-4 7 100
-4 8 100
-4 9 100
-4 10 100
-4 11 100
-4 12 100
-4 13 100
-4 14 100
-4 15 100
-4 16 100
-4 17 100
-4 19 100
-4 20 100
-5 1 140
-5 2 140
-5 3 140
-5 4 140
-5 5 140
-5 6 140
-5 7 140
-5 8 140
-5 9 140
-5 11 140
-5 12 140
-5 13 140
-5 14 140
-5 15 140
-5 16 140
-5 17 140
-5 18 140
-5 19 140
-5 20 140
-5 21 140
-5 22 140
-5 23 140
-5 24 140
-5 25 140
-5 26 140
-5 27 140
-5 28 140
-5 29 140
-5 30 140
-5 32 140
-5 33 140
-5 34 140
-5 35 140
-5 36 140
-6 1 140
-6 2 140
-6 3 140
-6 4 140
-6 5 140
-6 6 140
-6 7 140
-6 8 140
-6 9 140
-6 10 140
-6 11 140
-6 12 140
-6 13 140
-6 14 140
-6 15 140
-6 16 140
-6 17 140
-6 18 140
-6 19 140
-6 20 140
-6 22 140
-6 23 140
-6 24 140
-6 25 140
-6 26 140
-6 27 140
-6 28 140
-6 29 140
-6 30 140
-6 31 140
-6 32 140
-6 33 140
-6 34 140
-6 35 140
-6 36 140
-7 1 140
-7 2 140
-7 3 140
-7 4 140
-7 5 140
-7 6 140
-7 7 140
-7 8 140
-7 9 140
